num,importe_total,numero_factura,cif,dni,cp,potencia_contratada,consumo,initial_date,final_date,nuevo_consumo,nuevo_cif,fecha_cargo,nombre_cliente
144,"114,18",K9267093338,A09516717,80290929E,"['09006', '15627', '09006']","5,610",459.0,02.08.2009,01.09.2009,459.0,A09516717.,06.09.2009,VICTORIA RAMÓN SEGURA
145,"16,54",NS8289726903,B87828679,43777298H,"['46114', '46114', '46114', '28044']","3,879",0.0,27.06.2009,27.07.2009,0.0,B87828679,01.08.2009,Learco Páramo Uveda
146,"161,73",US8626384448,B42544742,74658561D,"['04271', '04271', '04271', '03013']","3,675",587.0,20.08.2017,19.09.2017,587.0,B42544742,24.09.2017,GENCIANA DOBLADO LOMBARDO
147,"196,18",U2517084092,F04030672,68512312G,"['09551', '09551', '09551', '04700']","5,477",560.0,25.05.2021,24.07.2021,560.0,F04030672,29.07.2021,EFRAÍN LAFUENTE BECERRIL
148,"54,17",Y2021592056,[],17307479W,09227,"3,855",162.0,18.07.1995,17.08.1995,162.0,A0061418J,22.08.1995,Macario Alcázar Montalbán
149,"8,96",MT6979884652,B88480330,75709539W,"['28013', '40142', '28013']","2,075",0.0,20.10.1995,19.11.1995,0.0,B88480330.,24.11.1995,MILENA GODINES BECERRIL
150,"81,16",KW8679642247,B19318401,20756642Q,"['12200', '25577', '12200']","4,638",265.0,01.04.1999,01.05.1999,265.0,B19318401.,06.05.1999,Emma Páez Agustín
151,"102,83",KV7788721026,B98953177,57100935P,"['46002', '04662', '46002']","3,275",329.0,12.01.2000,11.02.2000,329.0,B98953177.,16.02.2000,PACO MONTECINOS VARELA
152,"134,78",D8325825154,B66823881,53000567B,"['49708', '49708', '49708', '08350']","3,771",396.0,09.04.1990,08.06.1990,396.0,B66823881,13.06.1990,Leonora Báez Dávila
153,"103,39",X3252781923,B22414296,65775413J,"['39592', '39592', '39592', '22367']","4,606",310.0,02.05.2018,01.06.2018,310.0,B22414296,06.06.2018,Tura Bolaños De Alba
154,"258,62",HU8278012572,B04787024,53248121Q,"['04700', '29470', '04700']","4,030",886.0,21.06.2000,20.08.2000,886.0,B04787024.,25.08.2000,Patty Solé Seballos
155,"18,96",HV4763847672,F46025136,80020843W,"['24114', '24114', '24114', '46026']","4,927",0.0,09.08.2016,08.09.2016,0.0,F46025136,13.09.2016,Ludmila Galeano Sánchez
156,"127,72",Q4525385714,B66420407,35969206N,"['08130', '08130', '35002', '35002', '35002', '08130', '08130']","4,30",334.0,11.06.2016,10.08.2016,334.0,B66420407,15.08.2016,SATURIO LEYVA TAMES
157,"128,12",PN5045247924,B19505049,95874674W,"['28001', '28001', '42124', '42124', '42124', '28001', '28001']","4,88",403.0,29.07.2003,28.08.2003,403.0,B19505049,02.09.2003,ODILA FRÍAS GÓMEZ
158,"96,88",K4287605202,B98882111,13850531T,"['46230', '08274', '46230']","3,856",312.0,16.05.2019,15.06.2019,312.0,B98882111.,20.06.2019,Vicente Bonilla Lázaro
159,"304,13",H4093244560,A65067332,14941277V,"['28033', '50619', '28033']","2,329",1088.0,21.02.1998,22.04.1998,1088.0,A65067332.,27.04.1998,Altea Chavira Baños
160,"406,85",ND9243400278,B98516693,40686498G,"['09259', '09259', '09259', '46013']","3,851",1288.0,13.06.2016,12.08.2016,1288.0,B98516693,17.08.2016,DANIEL SALDIVAR VARGA
161,"109,01",O8145925048,B73704405,80363962F,"['30709', '30709', '08781', '08781', '08781', '30709', '30709']","3,28",332.0,22.06.2002,21.08.2002,332.0,B73704405,26.08.2002,Baltasar Gayoso Llano
162,"63,86",T1948032727,B25703968,59004163D,"['25600', '32513', '25600']","5,735",206.0,12.08.1992,11.09.1992,206.0,B25703968.,16.09.1992,Azucena Sandoval Moneda
163,"102,69",XR1671428823,F71235311,69392720H,"['36845', '36845', '36845', '44095', '44033', '31002']","3,316",316.0,16.06.1998,15.08.1998,316.0,F71235311,20.08.1998,Evel Carranza Cepeda
164,"139,24",PU5240922877,[],67269637L,37291,"4,970",474.0,29.06.2021,29.07.2021,474.0,GB245122493.,03.08.2021,CLEMENTINA ZAMBRANO VELA
165,"94,27",U4526089586,A74472911,48424450C,"['48010', '09370', '48010']","5,291",296.0,27.07.2015,26.08.2015,296.0,A74472911.,31.08.2015,Ivo Zavala Vargas
166,"54,20",YJ9305008594,B36000917,16431657C,"['19143', '19143', '19143', '36600']","4,234",125.0,12.02.2000,13.03.2000,125.0,B36000917,18.03.2000,Felicitas Gaytán Fuentes
167,"104,81",NE6656328902,B25445693,56675039A,"['25172', '01260', '25172']","4,352",454.0,14.06.2017,14.07.2017,454.0,B25445693.,19.07.2017,LEONORA JUNCO PARRA
168,"131,45",F8669808383,B01775212,11587764L,"['23310', '23310', '23310', '02007']","2,930",508.0,29.03.2008,28.05.2008,508.0,B01775212,02.06.2008,TECLA CAMARENO BUSTO
169,"69,82",T8153594550,B64445224,55761582Z,"['28001', '09342', '28001', '82129', '41080']","2,222",202.0,17.11.1995,16.01.1996,202.0,B64445224,21.01.1996,Leonela Jurado Vidal
170,"124,86",H6489511861,B72313992,51045805L,"['11518', '34114', '11518']","3,974",366.0,31.03.1999,30.04.1999,366.0,B72313992.,05.05.1999,EGIDIO ESTRADA URIBE
171,"54,83",C2928002370,A28013522,18906998D,"['31860', '31860', '31860', '16092', '16021', '28034']","5,461",135.0,30.03.2002,29.04.2002,135.0,A28013522,04.05.2002,Estanislao Hurtado Villaseñor
172,"122,11",M6668509213,F46233680,47116343S,"['01427', '01427', '01427', '46350']","3,519",362.0,09.06.2002,09.07.2002,362.0,F46233680,14.07.2002,ANA MANZANO GÓNGORA
173,"153,24",I8261514060,[],67548065D,43559,"4,12",660.0,25.05.1996,24.06.1996,660.0,CH243039,29.06.1996,AMADOR MALTÉS ZÚÑIGA
174,"51,61",UQ2580380945,F42212696,87131183F,"['42004', '36391', '42004']","3,270",187.0,24.10.1996,23.11.1996,187.0,F42212696.,28.11.1996,Talía Aguilar Carranza
175,"65,30",EM9336425186,B27512417,32994688S,"['27297', '39506', '27297']","5,025",196.0,26.07.2005,25.08.2005,196.0,B27512417.,30.08.2005,SIBILA ALMENDÁREZ TEJADA
176,"187,85",Q9706411114,B73977464,81639437V,"['30880', '43340', '30880']","3,206",618.0,05.12.1991,04.01.1992,618.0,B73977464.,09.01.1992,ISABELA PÁRAMO MAGALLÓN
177,"195,35",S7194290006,B98470727,69045054C,"['46001', '46001', '14208', '14208', '14208', '46001', '46001']","4,44",812.0,22.06.1995,21.08.1995,812.0,B98470727,26.08.1995,Saúl Mena Oviedo
178,"129,64",E4453432711,B66868902,56048682M,"['08010', '04897', '08010']","3,943",347.0,04.12.1990,03.01.1991,347.0,B66868902.,08.01.1991,MAGIA CEPEDA VENEGAS
179,"18,06",L9882486528,B55161400,43163389W,"['17244', '13345', '17244']","4,685",0.0,07.07.2008,06.08.2008,0.0,B55161400.,11.08.2008,YASMINA RIVERA GALÁN
180,"47,12",TX2559557909,B88407507,76974243M,"['40331', '40331', '40331', '28046']","5,507",0.0,12.05.1999,11.07.1999,0.0,B88407507,16.07.1999,Timoteo Ayala Figueras
181,"66,94",QE6435775538,B36026375,66392162V,"['04692', '04692', '04692', '36600']","4,904",226.0,18.06.2006,18.07.2006,226.0,B36026375,23.07.2006,Immanuel De la Cruz Usaga
182,"89,18",H5700052361,B66162421,80107888S,"['08911', '26211', '08911', '26211', '26211', '08911', '08911']","5,63",132.0,06.02.2005,07.04.2005,132.0,B66162421,12.04.2005,BIENVENIDO FIGUERAS IGLESIAS
183,"50,55",PD1629874707,B98476922,80895598K,"['02001', '41929', '02001', '73761', '41080']","3,861",84.0,09.12.2008,07.02.2009,84.0,B98476922,12.02.2009,IDOTA VALENZUELA SOZA
184,"46,49",OL4986821644,A62733126,62436942S,"['46844', '46844', '46844', '39011']","4,897",0.0,21.03.1995,20.05.1995,0.0,A62733126,25.05.1995,MORFEO CORNEJO MOSCOA
185,"89,57",B1364624320,B02943991,17555387Q,"['25217', '25217', '25217', '18015']","5,451",208.0,11.08.2014,10.10.2014,208.0,B02943991,15.10.2014,HERMINIA GALÁN TALAVERA
186,"107,39",N6335118136,B90472028,57856245K,"['41001', '33002', '41001']","4,018",298.0,16.03.2000,16.05.2000,298.0,B90472028.,21.05.2000,Noemí Maduro Zacarías
187,"85,20",WW6343350237,B87086989,91121620J,"['46008', '26329', '46008']","3,213",254.0,22.02.2014,24.03.2014,254.0,B87086989.,29.03.2014,HELIODORO MARROQUÍ MARROQUÍ
188,"263,30",ZW3937335658,A61121752,79218478S,"['08400', '24227', '08400']","4,935",796.0,02.05.2006,01.07.2006,796.0,A61121752.,06.07.2006,Isabela Quevedo Ventura
189,"207,50",DT4858076870,B63841597,61890602V,"['09341', '09341', '09341', '08242']","5,912",688.0,29.07.2003,27.09.2003,688.0,B63841597,02.10.2003,TYLER LÁNDEZ TRUJILLO
190,"65,91",X8494697279,B76654771,71464763Z,"['38110', '38110', '11520', '11520', '11520', '38110', '38110']","1,96",184.0,21.08.2011,20.10.2011,184.0,B76654771,25.10.2011,CLAUDIO LÁNDEZ SOLÉ
191,"156,58",JF9136079046,B01813104,70107429W,"['28006', '39310', '28006', '92620', '41080']","3,336",469.0,12.07.2012,11.08.2012,469.0,B01813104,16.08.2012,Lucrecio Bolaños Ozuno
192,"283,11",FW9651319710,A87705471,32252759C,"['11620', '11620', '11620', '28001']","2,771",836.0,02.01.2021,01.02.2021,836.0,A87705471,06.02.2021,Marilyn Caldera Rangel
193,"16,65",Q9720068016,F42212696,12380905M,"['22197', '22197', '22197', '77044', '77027', '42004']","3,938",0.0,21.05.2018,20.06.2018,0.0,F42212696,25.06.2018,Owen Carvajal Parado
194,"26,96",NB9525034730,B19317304,13291902H,"['35340', '35340', '35340', '19174']","2,832",67.0,04.03.2000,03.04.2000,67.0,B19317304,08.04.2000,Iciar Vargas Vásquez
195,"99,95",E6776036160,A66585191,85424384S,"['08010', '38913', '08010']","3,468",336.0,27.01.1999,26.02.1999,336.0,A66585191.,03.03.1999,OLIMPIA PARADO MIJARES
196,"107,86",IP4259519433,B26558056,35574980Y,"['26001', '08228', '26001']","3,264",363.0,06.07.2004,05.08.2004,363.0,B26558056.,10.08.2004,ARISTÓBULO SOZA SALCEDO
197,"58,94",OC1133607628,B74303264,38286278H,"['33430', '24830', '33430', '15701', '41080']","5,253",82.0,30.07.2006,28.09.2006,82.0,B74303264,03.10.2006,MALENA FONSECA OSORIO
198,"384,26",O3945995628,B88584016,32866216K,"['28003', '28003', '47180', '47180', '47180', '28003', '28003']","3,92",1090.0,18.10.2004,17.12.2004,1090.0,B88584016,22.12.2004,Jonatan De Aguilar Peralta
199,"36,03",MV3447656689,A33473752,10104712F,"['40291', '40291', '40291', '33007']","2,918",46.0,11.10.2015,09.12.2015,46.0,A33473752,14.12.2015,ALFONSA AMADOR FIERRO
200,"113,60",Q6480887420,A33985540,46202008E,"['33203', '13190', '33203']","3,267",286.0,20.11.2012,19.01.2013,286.0,A33985540.,24.01.2013,CRISTINA MIJARES PERAZA
201,"170,39",B7318451293,[],73128643M,44220,"3,09",560.0,19.12.2013,18.01.2014,560.0,GB927405129,23.01.2014,GRECIA MACÍAS FÁBREGAS
202,"440,55",W6704829305,B02943991,73071933J,"['18015', '18015', '02488', '02488', '02488', '18015', '18015']","6,95",1318.0,02.08.1992,01.10.1992,1318.0,B02943991,06.10.1992,LADISLAO SEDANO PINEDA
203,"103,68",AQ7873812452,A25466939,65748623H,"['02510', '02510', '02510', '25280']","2,262",279.0,13.04.2019,13.05.2019,279.0,A25466939,18.05.2019,Lola Ruiz Navarrete
204,"36,26",I9052003908,[],84824644T,07609,"4,110",0.0,26.06.1997,25.08.1997,0.0,DK17225898.,30.08.1997,AXEL MARCÍAS ALANIS
205,"92,06",W5055106927,A66783515,80761381D,"['08913', '08913', '49134', '49134', '49134', '08913', '08913']","4,99",264.0,27.06.1994,26.08.1994,264.0,A66783515,31.08.1994,Dani Rojas Moneda
206,"46,04",P6672762492,A19240621,15728183R,"['28703', '37609', '28703']","4,436",106.0,10.07.1992,09.08.1992,106.0,A19240621.,14.08.1992,ROSMARY SÁENZ MATEO
207,"234,47",S2240837012,B39540760,86051722M,"['39011', '02482', '39011', '10742', '41080']","3,670",598.0,06.10.1996,05.12.1996,598.0,B39540760,10.12.1996,Jamila Soler Bazán
208,"184,15",QO4638344986,A28039469,97735693E,"['28108', '35109', '28108']","4,454",582.0,03.04.2013,02.06.2013,582.0,A28039469.,07.06.2013,HAROLD VELASCO DARÍO
209,"52,00",CP7794795095,B22280259,45460304E,"['05192', '05192', '05192', '22450']","2,751",183.0,06.08.2008,05.09.2008,183.0,B22280259,10.09.2008,Basilio Cevallos Echeverría
210,"177,83",VS8967966357,B88635289,62798546J,"['28039', '06679', '28039']","4,443",608.0,03.01.2002,04.03.2002,608.0,B88635289.,09.03.2002,GIULIANA CABEZA
211,"114,89",I5206880103,B55161400,83571330W,"['04746', '04746', '04746', '17244']","4,367",376.0,13.03.2007,12.05.2007,376.0,B55161400,17.05.2007,IRMINA VÍVEZ VIVERO
212,"99,86",GN8659485906,B27266279,11735159F,"['27790', '25360', '27790']","3,753",305.0,04.12.2016,03.01.2017,305.0,B27266279.,08.01.2017,EVELIO SALINAS GODINES
213,"241,03",MB3770642751,B25703968,19251197J,"['25600', '19142', '25600', '19142', '19142', '25600', '25600']","4,36",826.0,09.10.2017,08.12.2017,826.0,B25703968,13.12.2017,Natalie Salmón Montecinos
214,"44,05",KP6274026361,B12820155,92093896X,"['12124', '04160', '12124']","4,288",129.0,11.05.1998,10.06.1998,129.0,B12820155.,15.06.1998,Emma Alcocer Cuéllar
215,"105,52",E5290678577,A73027930,47367033M,"['30140', '47007', '30140']","4,786",378.0,07.03.2010,06.05.2010,378.0,A73027930.,11.05.2010,Conrado Galindo Peraza
216,"33,75",MT1776983285,B67604157,69086544H,"['49718', '49718', '49718', '08911']","4,313",0.0,27.11.1996,26.01.1997,0.0,B67604157,31.01.1997,KALI SAGEL AGUIRRE
217,"101,24",V6542043269,A07088206,78410021P,"['46842', '46842', '46842', '07009']","2,265",460.0,24.01.1992,23.02.1992,460.0,A07088206,28.02.1992,AGAPITO NAVARRO GALINDO
218,"188,55",A6415294019,B15552060,51879887Y,"['15800', '39723', '15800']","5,063",592.0,24.01.1998,23.02.1998,592.0,B15552060.,28.02.1998,Heleia Galeano Herrera
219,"185,45",XY9126964805,B98846363,17338178L,"['36638', '36638', '36638', '46002']","5,036",542.0,27.04.1994,27.05.1994,542.0,B98846363,01.06.1994,Epifanía Guerrero Jerano
220,"404,79",VS5157961546,B72352503,71096583H,"['11012', '11012', '10829', '10829', '10829', '11012', '11012']","1,94",1134.0,31.01.2001,01.04.2001,1134.0,B72352503,06.04.2001,PAULO ROMÁN OSPINO
221,"123,29",B6357501498,B24373367,77379725C,"['31291', '31291', '31291', '24380']","4,095",372.0,18.11.2014,17.01.2015,372.0,B24373367,22.01.2015,Aránzazu Martínez Falcón
222,"30,93",PL4579762414,B82410549,16619436G,"['28004', '28004', '12224', '12224', '12224', '28004', '28004']","3,95",34.0,25.10.1996,24.11.1996,34.0,B82410549,29.11.1996,Juan Bautista Escalante Duarte
223,"123,63",DX7009718282,B64757602,38365847F,"['28020', '31590', '28020', '46812', '41080']","3,995",486.0,01.04.2007,01.05.2007,486.0,B64757602,06.05.2007,Emilia Cerda Ramírez
224,"70,86",L9873675736,B67605584,36830224W,"['08810', '22135', '08810']","3,230",194.0,03.07.2013,02.08.2013,194.0,B67605584.,07.08.2013,ANA VALENTÍN CISNEROS
225,"266,51",S4897369344,B17659111,80319695S,"['17844', '17844', '30570', '30570', '30570', '17844', '17844']","5,35",832.0,05.08.2016,04.10.2016,832.0,B17659111,09.10.2016,Ireneo Castellanos Murillo
226,"178,94",C5669837760,B25267220,66845537Q,"['25691', '10663', '25691']","3,665",458.0,24.10.2013,23.12.2013,458.0,B25267220.,28.12.2013,Ana María Estévez Manzano
227,"72,06",RY3558427032,B65509887,61612220G,"['08500', '38627', '08500', '96010', '41080']","3,867",194.0,01.07.2005,31.07.2005,194.0,B65509887,05.08.2005,Flor Barriga Otero
228,"162,65",Z5323804300,B40563520,64606839T,"['46023', '15003', '46023']","3,744",634.0,27.12.2019,25.02.2020,634.0,B40563520.,01.03.2020,Erica Roble De la Fuente
229,"571,68",N6358153997,B87574463,75018883J,"['50611', '50611', '50611', '28039']","3,069",1608.0,25.03.2006,24.05.2006,1608.0,B87574463,29.05.2006,Orfeo Maltés
230,"25,22",X7852101475,B22410286,12850130F,"['22440', '17164', '22440', '49774', '41080']","2,776",44.0,03.05.2012,02.06.2012,44.0,B22410286,07.06.2012,EMILIANA CASTELLANOS PALADINO
231,"145,36",O8554400198,A84000884,74384459K,"['28002', '39590', '28002']","3,093",462.0,13.05.2012,12.07.2012,462.0,A84000884.,17.07.2012,LEÓNIDA CASTAÑEDA PUENTE
232,"82,90",JN5049058267,B98476922,51624980P,"['02001', '26211', '02001']","4,349",301.0,02.04.2006,02.05.2006,301.0,B98476922.,07.05.2006,MARCIA LÁZARO MALTÉS
233,"231,80",JR2132334079,A42785949,19676375J,"['19132', '19132', '19132', '28028']","4,785",714.0,26.10.1998,25.12.1998,714.0,A42785949,30.12.1998,XENIA ANAYA MUNERA
234,"39,55",WP1851519265,B64906431,31687324V,"['08014', '48391', '08014']","2,404",103.0,17.11.2008,17.12.2008,103.0,B64906431.,22.12.2008,Pacomio Farías Molina
235,"87,07",JU6265059337,F93157717,41043031Z,"['29640', '29640', '19332', '19332', '19332', '29640', '29640']","5,35",220.0,01.07.2020,31.07.2020,220.0,F93157717,05.08.2020,LEANDRO LACAYO PERALTA
236,"122,94",VY1194576420,B98219868,35851977Z,"['46980', '48993', '46980']","3,461",328.0,29.03.2021,28.05.2021,328.0,B98219868.,02.06.2021,PROSPERO OCHOA PINEDA
237,"189,85",L3784345374,B85290997,93619948N,"['28108', '05141', '28108']","3,112",654.0,08.05.2011,07.06.2011,654.0,B85290997.,12.06.2011,ARANTXA ROVIRA SALDAÑA
238,"224,58",M5176578499,B66477993,76047718N,"['29400', '29400', '29400', '08800']","4,390",694.0,29.06.2003,29.07.2003,694.0,B66477993,03.08.2003,Sandro Jiménez Casas
239,"11,54",RX4547510782,B25445693,28524128B,"['25172', '08756', '25172', '90736', '41080']","2,288",0.0,28.01.2011,27.02.2011,0.0,B25445693,04.03.2011,Camila Guerrero Saucedo
240,"195,13",W7326640151,[],39514927F,"['40221', '42128']","5,229",668.0,15.05.1992,14.07.1992,668.0,DE192205313.,19.07.1992,ALTAGRACIA ALAYÓN PINEDA
241,"97,26",U9610035467,B66024464,11269439Z,"['08173', '19287', '08173']","5,010",313.0,20.08.1993,19.09.1993,313.0,B66024464.,24.09.1993,EUFEMIA ROLDÁN ARJONA
242,"109,78",P2230469538,B06688568,23820041E,"['06656', '06656', '06656', '06200']","4,831",246.0,19.12.2014,17.02.2015,246.0,B06688568,22.02.2015,Edith Lacayo Plácido
243,"151,12",LY6434129296,A57048332,31902121V,"['09109', '09109', '09109', '07100']","3,299",551.0,20.08.2020,19.09.2020,551.0,A57048332,24.09.2020,Dante Medina Cadenas
244,"66,11",OT3815274204,B26266106,33259329H,"['26007', '26007', '47690', '47690', '47690', '26007', '26007']","4,23",237.0,11.02.2017,13.03.2017,237.0,B26266106,18.03.2017,BALTASAR CAMARILLO UREÑA
245,"10,49",L3662807576,A61121752,51979629C,"['08400', '25218', '08400', '25218', '25218', '08400', '08400']","2,75",0.0,23.01.1992,22.02.1992,0.0,A61121752,27.02.1992,Roberto Pastor Rojas
246,"64,68",U7227284335,B88371935,92654577C,"['28006', '44111', '28006', '51415', '41080']","2,408",196.0,19.12.2005,17.02.2006,196.0,B88371935,22.02.2006,Vera Plácido Galván
247,"129,55",K9410318086,B87757464,15561128H,"['17256', '17256', '17256', '28001']","3,311",489.0,24.03.2007,23.04.2007,489.0,B87757464,28.04.2007,Alejo Cevedo Quiroga
248,"226,83",G4469517633,B98729486,13781315Z,"['46800', '50250', '46800', '69456', '41080']","3,473",686.0,05.06.2018,05.07.2018,686.0,B98729486,10.07.2018,PASTOR MOSCOA LORIO
249,"169,14",J9146263567,B98202237,11047069P,"['46980', '46980', '34111', '34111', '34111', '31063', '46980', '46980']","3,63",494.0,17.06.2015,16.08.2015,494.0,B98202237,21.08.2015,IZASKUM SALA VARGAS
250,"375,99",HY4171543466,B25703968,70843685M,"['25600', '03450', '25600', '76218', '41080']","4,074",1212.0,21.01.2003,22.03.2003,1212.0,B25703968,27.03.2003,Gamaliel Garrido Bautista
251,"99,57",X1264036279,B25467887,79757741C,"['17320', '17320', '17320', '25171']","3,792",335.0,25.01.1991,24.02.1991,335.0,B25467887,01.03.1991,Odorico Granados Fierro
252,"85,86",WL4838884610,B87177408,29085710W,"['25599', '25599', '25599', '28823']","5,600",224.0,07.01.2014,06.02.2014,224.0,B87177408,11.02.2014,Pascasio Patiño Anaya
253,"242,91",RR3571036546,A95472882,32605502N,"['25211', '25211', '25211', '48009']","4,680",624.0,05.01.1996,05.03.1996,624.0,A95472882,10.03.1996,Rosario Cuervo Montes
254,"129,07",TS9357762128,B86787900,93495913Q,"['28003', '28003', '31810', '31810', '31810', '28003', '28003']","4,43",298.0,28.08.2002,27.10.2002,298.0,B86787900,01.11.2002,QUITERIA FALCÓN ALAYÓN
255,"16,06",BP9226527771,B73935645,11082719P,"['30892', '34849', '30892']","3,946",5.0,12.06.2019,12.07.2019,5.0,B73935645.,17.07.2019,JUDIT MONTALVO VILLEDA
256,"99,92",MP5851424050,A08431090,53946302D,"['28033', '28033', '32899', '32899', '32899', '28033', '28033']","2,14",356.0,21.12.1998,20.01.1999,356.0,A08431090,25.01.1999,BENEDICTA LUGO ULLOA
257,"103,46",R6599129234,B40605925,67151609G,"['46900', '31260', '46900']","5,256",436.0,15.09.2007,15.10.2007,436.0,B40605925.,20.10.2007,Jaime Campos Valenzuela
258,"128,08",LT4823407321,A66585191,82378899Y,"['08010', '24248', '08010']","2,872",440.0,03.06.2001,02.08.2001,440.0,A66585191.,07.08.2001,MARILINA VELA ORTEGA
259,"60,89",X2923380810,B31595523,67586984N,"['31195', '31195', '27533', '27533', '27533', '31195', '31195']","3,39",151.0,12.10.2007,11.11.2007,151.0,B31595523,16.11.2007,Ana Aguilar Palomino
260,"50,57",R1119535111,B22350466,53244851N,"['22300', '32357', '22300']","1,685",164.0,16.10.2013,15.11.2013,164.0,B22350466.,20.11.2013,Eneas Manuel Batalla
261,"141,54",D8877951856,B39872775,89019587L,"['39313', '32898', '39313']","3,864",414.0,05.07.2002,03.09.2002,414.0,B39872775.,08.09.2002,PALMA LORIO ROMERO
262,"120,02",F6599219187,A12542296,73512961Q,"['12002', '28005', '12002']","3,961",378.0,23.03.2020,22.04.2020,378.0,A12542296.,27.04.2020,Homero Olivares Montes
263,"69,97",DI7092176990,B87826269,24963171Y,"['22583', '22583', '22583', '28007']","4,074",213.0,22.12.2015,21.01.2016,213.0,B87826269,26.01.2016,LILIANA ZABALETA SALAZAR
264,"165,96",N9315221955,B25745696,17693783K,"['38005', '38005', '38005', '25230']","6,512",500.0,25.01.1997,24.02.1997,500.0,B25745696,01.03.1997,SALUD MONTALVO CUÉLLAR
265,"47,48",M5309808514,B25512641,62012696G,"['28010', '44547', '28010']","3,804",72.0,22.08.2008,21.10.2008,72.0,B25512641.,26.10.2008,EDWIN SARMIENTO GODINES
266,"465,41",OE1762266231,B01775212,34872493P,"['02007', '02007', '13380', '13380', '13380', '02007', '02007']","4,24",1560.0,28.04.1996,27.06.1996,1560.0,B01775212,02.07.1996,Fernando Pedroza Dorado
267,"112,71",VU4645986251,B87327128,87814823H,"['28108', '42312', '28108']","5,262",216.0,25.03.2013,24.05.2013,216.0,B87327128.,29.05.2013,EFRAÍN MONGE VALENCIA
268,"37,75",D5708482786,B85634350,86278396Z,"['28660', '34309', '28660']","3,517",127.0,05.06.2009,05.07.2009,127.0,B85634350.,10.07.2009,Edna Oviedo Seballos
269,"122,08",M8543261821,B88110341,72021480Q,"['33920', '33920', '33920', '28029']","3,902",389.0,19.07.2006,18.08.2006,389.0,B88110341,23.08.2006,Raimundo Macedo Valle
270,"241,88",BJ2277868797,B66571290,43209711W,"['39005', '39005', '30593', '30593', '30593', '19031', '39005', '39005']","4,05",742.0,14.03.2001,13.05.2001,742.0,B66571290,18.05.2001,ELÍAS ALAYÓN PERDOMO
271,"61,19",AF5189224732,B84317593,24202889N,"['28042', '28042', '24412', '24412', '24412', '28042', '28042']","4,99",213.0,01.11.2014,01.12.2014,213.0,B84317593,06.12.2014,Albertina Osorio Otero
272,"32,89",SM4984193095,B30819577,66208685B,"['03190', '32618', '03190', '45533', '41080']","2,396",97.0,09.08.2007,08.09.2007,97.0,B30819577,13.09.2007,SILESIO GAVILÁN DOMÍNGUEZ
273,"25,53",BY6022302061,B90206566,65233889R,"['36116', '36116', '36116', '32016', '32095', '41004']","3,935",23.0,14.01.1992,13.02.1992,23.0,B90206566,18.02.1992,Mar Román Mendoza
274,"76,83",C7791862255,B87095543,34516180B,"['28023', '28023', '08262', '08262', '08262', '28023', '28023']","3,56",275.0,10.03.1992,09.04.1992,275.0,B87095543,14.04.1992,Roldán Valentín Olmeda
275,"69,95",VW3811896743,B12899589,49272627A,"['12006', '42004', '12006', '90233', '41080']","3,734",218.0,04.03.2013,03.04.2013,218.0,B12899589,08.04.2013,ALVAR MARTÍNEZ MONTECINOS
276,"144,25",Z3342486874,B90206566,37457508F,"['14610', '14610', '14610', '32082', '32028', '41004']","2,770",575.0,13.10.2001,12.11.2001,575.0,B90206566,17.11.2001,Humberto Vívez Lández
277,"143,38",QB1006107569,B42585141,41478902N,"['03203', '03203', '16193', '16193', '16193', '03203', '03203']","3,98",518.0,14.07.1999,12.09.1999,518.0,B42585141,17.09.1999,INDIANA ZAVALA ULLOA
278,"108,66",J1935444610,B98722200,69358893R,"['02640', '02640', '49193', '49193', '49193', '02640', '02640']","3,73",431.0,12.04.2012,12.05.2012,431.0,B98722200,17.05.2012,GEDEÓN ZAMORA VALLE
279,"238,10",W8440844202,B25829904,51009499F,"['31001', '31001', '31001', '25002']","3,862",758.0,18.12.2016,16.02.2017,758.0,B25829904,21.02.2017,MORFEO CASAS AMADOR
280,"55,08",M4298196493,B73977464,39794888N,"['10129', '10129', '10129', '30880']","3,292",140.0,29.08.2015,28.09.2015,140.0,B73977464,03.10.2015,Judas Salvado Zetina
281,"259,89",IW6284377313,B81997439,56877225L,"['28001', '17133', '28001']","3,624",1070.0,21.12.2011,19.02.2012,1070.0,B81997439.,24.02.2012,ALBINA IZQUIERDO PLÁCIDO
282,"103,07",ZJ3399666970,A42785949,87227452K,"['16220', '16220', '16220', '28028']","1,906",386.0,22.10.1999,21.12.1999,386.0,A42785949,26.12.1999,Higinio Merazo Juárez
283,"65,81",A1623502844,[],90850232W,09193,"3,843",160.0,06.11.2013,05.01.2014,160.0,A0061418J,10.01.2014,Orangel Salgado Chavira
284,"79,14",YP9342037799,B25829904,28126583K,"['25002', '33630', '25002', '33630', '33630', '25002', '25002']","5,11",216.0,09.08.2006,08.09.2006,216.0,B25829904,13.09.2006,GANÍMEDES SÁNCHEZ ÁLVAREZ
285,"50,98",OF2434742231,A02022366,20715100N,"['02005', '49740', '02005']","3,639",179.0,15.12.2011,14.01.2012,179.0,A02022366.,19.01.2012,Mandisa Varga Quiroz
286,"25,67",W9983689339,A55766927,31890550S,"['43002', '43002', '35309', '35309', '35309', '43002', '43002']","2,87",49.0,11.05.2001,10.06.2001,49.0,A55766927,15.06.2001,PASCAL CALLES MOSCOA
