num,importe_total,numero_factura,cif,dni,cp,potencia_contratada,consumo,initial_date,final_date
233,231.8,JR2132334079,[],19676375J,"['19132', '19132', '19132', '28028']","4,785",714,26.10.1998,25.12.1998
234,39.55,WP1851519265,B64906431,31687324V,"['08014', '48391', '08014']","2,404",103,17.11.2008,17.12.2008
235,87.07,JU6265059337,F93157717,41043031Z,"['29640', '29640', '19332', '19332', '19332', '29640', '29640']","5,35",220,01.07.2020,31.07.2020
236,122.94,VY1194576420,B98219868,35851977Z,"['46980', '48993', '46980']","3,461",328,29.03.2021,28.05.2021
237,189.85,L3784345374,B85290997,93619948N,"['28108', '05141', '28108']","3,112",654,08.05.2011,07.06.2011
238,224.58,M5176578499,[],76047718N,"['29400', '29400', '29400', '08800']","4,390",694,29.06.2003,29.07.2003
239,11.54,RX4547510782,B25445693,28524128B,"['25172', '08756', '25172', '90736', '41080']","2,288",0,28.01.2011,27.02.2011
240,195.13,W7326640151,[],39514927F,"['40221', '42128']","5,229",668,15.05.1992,14.07.1992
241,97.26,U9610035467,B66024464,11269439Z,"['08173', '19287', '08173']","5,010",313,20.08.1993,19.09.1993
242,109.78,P2230469538,[],23820041E,"['06656', '06656', '06656', '06200']","4,831",246,19.12.2014,17.02.2015
243,151.12,LY6434129296,[],31902121V,"['09109', '09109', '09109', '07100']","3,299",551,20.08.2020,19.09.2020
244,66.11,OT3815274204,B26266106,33259329H,"['26007', '26007', '47690', '47690', '47690', '26007', '26007']","4,23",237,11.02.2017,13.03.2017
245,10.49,L3662807576,A61121752,51979629C,"['08400', '25218', '08400', '25218', '25218', '08400', '08400']","2,75",0,23.01.1992,22.02.1992
246,64.68,U7227284335,B88371935,92654577C,"['28006', '44111', '28006', '51415', '41080']","2,408",196,19.12.2005,17.02.2006
247,129.55,K9410318086,[],15561128H,"['17256', '17256', '17256', '28001']","3,311",489,24.03.2007,23.04.2007
248,226.83,G4469517633,B98729486,13781315Z,"['46800', '50250', '46800', '69456', '41080']","3,473",686,05.06.2018,05.07.2018
249,169.14,J9146263567,B98202237,11047069P,"['46980', '46980', '34111', '34111', '34111', '31063', '46980', '46980']","3,63",494,17.06.2015,16.08.2015
250,375.99,HY4171543466,B25703968,70843685M,"['25600', '03450', '25600', '76218', '41080']","4,074",1212,21.01.2003,22.03.2003
251,99.57,X1264036279,[],79757741C,"['17320', '17320', '17320', '25171']","3,792",335,25.01.1991,24.02.1991
252,85.86,WL4838884610,[],29085710W,"['25599', '25599', '25599', '28823']","5,600",224,07.01.2014,06.02.2014
253,242.91,RR3571036546,[],32605502N,"['25211', '25211', '25211', '48009']","4,680",624,05.01.1996,05.03.1996
254,129.07,TS9357762128,B86787900,93495913Q,"['28003', '28003', '31810', '31810', '31810', '28003', '28003']","4,43",298,28.08.2002,27.10.2002
255,16.06,BP9226527771,B73935645,11082719P,"['30892', '34849', '30892']","3,946",5,12.06.2019,12.07.2019
256,99.92,MP5851424050,A08431090,53946302D,"['28033', '28033', '32899', '32899', '32899', '28033', '28033']","2,14",356,21.12.1998,20.01.1999
257,103.46,R6599129234,B40605925,67151609G,"['46900', '31260', '46900']","5,256",436,15.09.2007,15.10.2007
258,128.08,LT4823407321,A66585191,82378899Y,"['08010', '24248', '08010']","2,872",440,03.06.2001,02.08.2001
259,60.89,X2923380810,B31595523,67586984N,"['31195', '31195', '27533', '27533', '27533', '31195', '31195']","3,39",151,12.10.2007,11.11.2007
260,50.57,R1119535111,B22350466,53244851N,"['22300', '32357', '22300']","1,685",164,16.10.2013,15.11.2013
261,141.54,D8877951856,B39872775,89019587L,"['39313', '32898', '39313']","3,864",414,05.07.2002,03.09.2002
262,120.02,F6599219187,A12542296,73512961Q,"['12002', '28005', '12002']","3,961",378,23.03.2020,22.04.2020
263,69.97,DI7092176990,[],24963171Y,"['22583', '22583', '22583', '28007']","4,074",213,22.12.2015,21.01.2016
264,165.96,N9315221955,[],17693783K,"['38005', '38005', '38005', '25230']","6,512",500,25.01.1997,24.02.1997
265,47.48,M5309808514,B25512641,62012696G,"['28010', '44547', '28010']","3,804",72,22.08.2008,21.10.2008
266,465.41,OE1762266231,B01775212,34872493P,"['02007', '02007', '13380', '13380', '13380', '02007', '02007']","4,24",1560,28.04.1996,27.06.1996
267,112.71,VU4645986251,B87327128,87814823H,"['28108', '42312', '28108']","5,262",216,25.03.2013,24.05.2013
268,37.75,D5708482786,B85634350,86278396Z,"['28660', '34309', '28660']","3,517",127,05.06.2009,05.07.2009
269,122.08,M8543261821,[],72021480Q,"['33920', '33920', '33920', '28029']","3,902",389,19.07.2006,18.08.2006
270,241.88,BJ2277868797,B66571290,43209711W,"['39005', '39005', '30593', '30593', '30593', '19031', '39005', '39005']","4,05",742,14.03.2001,13.05.2001
271,61.19,AF5189224732,B84317593,24202889N,"['28042', '28042', '24412', '24412', '24412', '28042', '28042']","4,99",213,01.11.2014,01.12.2014
272,32.89,SM4984193095,B30819577,66208685B,"['03190', '32618', '03190', '45533', '41080']","2,396",97,09.08.2007,08.09.2007
273,25.53,BY6022302061,[],65233889R,"['36116', '36116', '36116', '32016', '32095', '41004']","3,935",23,14.01.1992,13.02.1992
274,76.83,C7791862255,B87095543,34516180B,"['28023', '28023', '08262', '08262', '08262', '28023', '28023']","3,56",275,10.03.1992,09.04.1992
275,69.95,VW3811896743,B12899589,49272627A,"['12006', '42004', '12006', '90233', '41080']","3,734",218,04.03.2013,03.04.2013
276,144.25,Z3342486874,[],37457508F,"['14610', '14610', '14610', '32082', '32028', '41004']","2,770",575,13.10.2001,12.11.2001
277,143.38,QB1006107569,B42585141,41478902N,"['03203', '03203', '16193', '16193', '16193', '03203', '03203']","3,98",518,14.07.1999,12.09.1999
278,108.66,J1935444610,B98722200,69358893R,"['02640', '02640', '49193', '49193', '49193', '02640', '02640']","3,73",431,12.04.2012,12.05.2012
279,238.1,W8440844202,[],51009499F,"['31001', '31001', '31001', '25002']","3,862",758,18.12.2016,16.02.2017
280,55.08,M4298196493,[],39794888N,"['10129', '10129', '10129', '30880']","3,292",140,29.08.2015,28.09.2015
281,259.89,IW6284377313,B81997439,56877225L,"['28001', '17133', '28001']","3,624",1070,21.12.2011,19.02.2012
282,103.07,ZJ3399666970,[],87227452K,"['16220', '16220', '16220', '28028']","1,906",386,22.10.1999,21.12.1999
283,65.81,A1623502844,[],90850232W,09193,"3,843",160,06.11.2013,05.01.2014
284,79.14,YP9342037799,B25829904,28126583K,"['25002', '33630', '25002', '33630', '33630', '25002', '25002']","5,11",216,09.08.2006,08.09.2006
285,50.98,OF2434742231,A02022366,20715100N,"['02005', '49740', '02005']","3,639",179,15.12.2011,14.01.2012
286,25.67,W9983689339,A55766927,31890550S,"['43002', '43002', '35309', '35309', '35309', '43002', '43002']","2,87",49,11.05.2001,10.06.2001
287,96.79,OP8778350614,[],77658545B,"['42216', '42216', '42216', '08039']","4,742",294,25.09.1996,24.11.1996
288,291.44,M8720728603,B02494375,68086907F,"['02006', '19321', '02006']","3,394",978,11.01.2019,12.03.2019
289,187.58,ZJ1566665502,B75106500,19937246H,"['20600', '42341', '20600']","2,770",624,03.07.1992,01.09.1992
290,14.65,JD2142832246,[],64996878M,"['07220', '07220', '07220', '28039']","2,074",17,23.06.2007,23.07.2007
291,79.29,PP1296548737,B11000783,39912033H,"['11140', '11140', '33812', '33812', '33812', '11140', '11140']","3,85",236,17.12.2012,15.02.2013
292,117.62,CO2595268744,[],58278333J,17250,"4,812",403,24.08.1998,23.09.1998
293,160.91,P1993823819,B98516693,46346870F,"['46013', '05299', '46013']","4,022",525,08.01.2009,07.02.2009
294,173.15,RR8190626703,[],31991875W,"['32300', '32300', '32300', '48950']","2,271",627,26.07.1998,25.08.1998
295,21.15,J1646623188,B82410549,27775610M,"['28004', '13600', '28004']","4,286",7,15.01.1996,14.02.1996
296,106.02,QF7355217345,[],37595295R,"['09128', '76563', '41080']","3,982",387,21.06.1990,21.07.1990
297,51.38,C3123013629,B66296401,82061073V,"['08760', '08760', '33813', '33813', '33813', '08760', '08760']","4,12",68,06.06.2004,05.08.2004
298,356.47,Q1828091838,[],53628247K,"['37311', '37311', '37311', '08911']","2,921",1200,26.10.2011,25.12.2011
299,122.66,UQ3806518487,[],77042799K,"['09271', '09271', '09271', '04005']","4,700",456,08.10.2005,07.11.2005
300,65.18,J7014618027,B27779818,50242493M,"['36206', '26212', '36206', '40853', '41080']","4,209",170,09.03.1999,08.04.1999
301,61.5,UN7096177643,[],85779558T,"['31711', '31711', '31711', '30150']","3,923",190,16.12.2003,15.01.2004
302,267.26,D5342355394,[],93121468B,"['36658', '36658', '36658', '08242']","5,107",852,27.07.2010,25.09.2010
303,68.7,R4041742688,B90486572,53736826V,"['41089', '41089', '24500', '24500', '24500', '41089', '41089']","4,08",173,12.11.2007,12.12.2007
304,139.79,Q9272279827,[],89485715Y,"['24739', '24739', '24739', '28036']","3,758",424,11.03.2015,10.05.2015
305,71.38,DD2266495545,A73137788,13559903T,"['12001', '10910', '12001']","3,930",183,23.02.1997,25.03.1997
306,212.13,H9211727969,[],47899237N,"['12594', '12594', '12594', '28001']","4,434",586,21.09.1995,21.10.1995
307,187.29,SX2334547331,B04827101,57875866T,"['04005', '09572', '04005']","4,791",522,12.12.2012,10.02.2013
308,71.46,N4190705693,[],39820790Q,"['03792', '03792', '03792', '56097', '56048', '46900']","5,885",78,10.06.2011,09.08.2011
309,61.49,AE8011252621,B25818733,94005317Q,"['25173', '20018', '25173', '15423', '41080']","4,699",171,11.07.2003,10.08.2003
310,143.99,CW3440470478,[],53256161Y,"['22162', '22162', '22162', '41300']","4,276",586,12.12.2021,10.02.2022
311,133.97,W9820210862,[],36393225A,"['09510', '09510', '09510', '30709']","4,053",426,27.02.1994,28.04.1994
312,44.89,CN1590213980,[],60956042Q,"['37408', '37408', '37408', '36619']","2,587",166,29.01.1995,28.02.1995
313,39.8,TJ6541366132,B42555284,28474158C,"['03190', '34480', '03190']","4,269",86,20.11.1999,20.12.1999
314,18.9,E8767531181,B65940322,52287914J,"['08292', '07650', '08292', '14788', '41080']","2,510",0,27.03.2007,26.05.2007
315,88.93,II3334855142,A28559573,11202911W,"['28108', '16638', '28108']","5,529",196,16.05.1997,15.06.1997
316,197.9,QT7578630955,B47770656,82472462M,"['47015', '06184', '47015']","3,782",540,13.02.2021,14.04.2021
317,242.97,HS3977118868,A94071727,27809776Q,"['36700', '35508', '36700']","5,679",728,04.05.2015,03.07.2015
318,341.24,KE6234789761,B55703300,57841986E,"['43206', '43206', '47012', '47012', '47012', '43206', '43206']","6,04",980,07.11.2017,06.01.2018
319,43.46,R5626749274,[],37949960Y,"['23330', '23330', '23330', '36700']","3,655",115,10.12.1992,09.01.1993
320,277.77,A6879036262,[],34964295V,"['19490', '19490', '19490', '28002']","3,670",696,15.07.1999,13.09.1999
321,48.39,ET1945647305,B73748097,14805974T,"['30800', '19275', '30800']","3,899",128,12.09.2006,12.10.2006
322,93.49,EX2161184728,B24224248,91902708K,"['24380', '44133', '24380']","4,729",316,07.11.2009,07.12.2009
323,74.79,B2739936261,A65067332,73868265Q,"['28033', '28033', '06182', '06182', '06182', '28033', '28033']","5,20",100,25.03.2011,24.05.2011
324,126.76,V5295078905,B66277138,56262844Z,"['08242', '13779', '08242']","5,210",429,14.02.2021,16.03.2021
325,117.16,X5905776071,[],18625266G,"['01307', '01307', '01307', '08922']","5,315",340,01.12.2014,30.01.2015
326,95.08,T7906180259,A81798480,62168909R,"['28045', '45109', '28045']","2,720",254,27.08.1994,26.10.1994
327,191.23,VZ7954471064,[],82313879F,"['27258', '27258', '27258', '41130']","3,411",534,27.01.1992,27.03.1992
328,82.2,NO9319712089,B87205977,83787506R,"['28023', '32134', '28023']","5,391",229,16.05.2020,15.06.2020
329,179.46,CC9365717329,[],50631844N,"['05240', '05240', '05240', '07013']","6,116",534,07.03.1996,06.05.1996
330,248.51,L4007050749,B55323091,81525448Q,"['17310', '17310', '39585', '39585', '39585', '17310', '17310']","2,99",870,10.06.2019,09.08.2019
331,200.32,II9862336657,A73444242,40059412J,"['28034', '28034', '42320', '42320', '42320', '28034', '28034']","2,74",670,29.07.2009,27.09.2009
332,249.58,A9924278454,B22411433,62507571B,"['22450', '40591', '22450']","2,959",842,22.04.2021,21.06.2021
333,83.03,H5816309175,[],94042659Y,"['32612', '32612', '32612', '38330']","3,776",290,03.01.1998,02.02.1998
334,83.15,BP3945726126,B82207275,62823310Y,"['28033', '24205', '28033']","5,259",230,15.10.2018,14.11.2018
335,70.31,VN9467476123,B87828679,36132435X,"['28044', '05191', '28044']","6,375",167,13.08.1994,12.09.1994
336,165.82,OT8455059466,[],91811749G,"['01165', '01165', '01165', '46138']","3,569",547,09.10.2013,08.11.2013
337,145.45,MH2790725201,[],71027486J,"['13480', '13480', '13480', '37900', '37900']","5,394",306,28.05.1999,27.07.1999
338,180.67,L5775099407,B75229369,60517668E,"['28045', '28045', '32140', '32140', '32140', '28045', '28045']","6,48",406,21.09.2021,20.11.2021
339,90.26,VO5324577914,[],38433149B,"['42171', '42171', '42171', '46800']","3,748",235,24.08.1998,23.09.1998
340,26.92,TV1335458813,[],17013629T,"['34128', '34128', '34128', '38110']","5,988",0,04.03.2019,03.04.2019
341,19.89,K2403059874,A08431090,86803684M,"['28033', '28033', '15215', '15215', '15215', '28033', '28033']","2,38",0,30.07.2002,28.09.2002
342,213.96,YM7161356729,[],80353767R,"['36309', '36309', '36309', '46013']","4,582",712,12.06.1994,11.08.1994
343,142.48,UA9206243865,B47762497,27165427N,"['47006', '47006', '30387', '30387', '30387', '47006', '47006']","4,22",430,16.07.2018,15.08.2018
344,17.61,Z4750437417,B88639059,89409390H,"['28691', '47494', '28691']","4,568",0,18.04.1999,18.05.1999
345,329.88,C4386593487,B25819749,55124464L,"['25126', '12140', '25126']","4,335",988,05.07.2017,03.09.2017
346,185.28,E1504597461,[],34375720N,"['33119', '33119', '33119', '41920']","1,493",562,13.10.2015,12.12.2015
347,145.49,BL7205028841,B27512417,33889806L,"['27297', '08793', '27297', '78463', '41080']","4,450",296,05.08.2020,04.10.2020
348,40.18,A1569567949,B27728781,43947284B,"['28002', '27333', '28002']","4,120",188,03.07.2002,02.08.2002
349,276.35,VR6387439379,B95695136,32306670L,"['48991', '27760', '48991']","2,639",934,17.06.2009,16.08.2009
350,90.57,QS7674816555,B26558056,56374095Z,"['26001', '46814', '26001']","2,697",313,29.12.2011,28.01.2012
351,105.4,MH1503120582,B02782563,66010895K,"['08503', '38398', '08503']","4,322",310,07.09.2005,07.10.2005
352,38.91,Y9851087693,B88319587,53564117S,"['28046', '04569', '28046']","2,077",130,14.06.2004,14.07.2004
353,111.99,JH3740206155,F46027298,95816629D,"['46168', '46168', '38632', '38632', '38632', '46168', '46168']","4,13",379,21.03.2020,20.04.2020
354,105.37,FE4120501604,B90031063,68901610G,"['41004', '41004', '29717', '29717', '29717', '41004', '41004']","4,02",322,26.11.2011,26.12.2011
355,42.59,IF8545254694,B70609136,77741419Q,"['15174', '12131', '15174', '86064', '41080']","4,743",0,01.06.2018,31.07.2018
356,31.79,J8372261144,B88407507,28856077R,"['28046', '45360', '28046']","3,793",0,29.01.2016,29.03.2016
357,124.92,KJ1575251209,B55161400,11825211Z,"['17244', '36876', '17244']","5,056",346,21.07.2003,19.09.2003
358,160.47,GI9309530030,B98882111,55977758J,"['46230', '36688', '46230', '85955', '41080']","2,485",598,06.03.2016,05.04.2016
359,422.42,Z4774646327,B88298864,52282576B,"['28042', '27824', '28042']","4,619",1068,05.02.1995,06.04.1995
360,87.13,E5017300108,B98583115,25592057A,"['46023', '43427', '46023']","2,702",328,24.10.1997,23.11.1997
361,114.08,HP6653307164,[],75569821D,"['41770', '41770', '41770', '73070', '73071', '28806']","3,260",380,20.01.2004,20.03.2004
362,33.72,ZV7596579518,[],52311093P,"['27592', '27592', '27592', '20064', '28020', '20011']","4,319",0,24.12.2001,22.02.2002
363,94.77,HH9180400827,F46004750,33197716E,"['46610', '49699', '46610', '49699', '49699', '46610', '46610']","4,70",262,08.04.2007,07.06.2007
364,69.27,G1639832414,[],55616981Z,"['50482', '50482', '50482', '03340']","5,708",120,20.08.2014,19.10.2014
365,127.47,R1859996368,A62420815,55287983P,"['08140', '32220', '08140']","5,693",350,19.04.2005,19.05.2005
366,481.52,D6432658179,B31737422,83931654P,"['28108', '35369', '28108']","5,011",1418,06.10.1997,05.12.1997
367,56.25,J1426198771,[],24051567F,15347,"4,417",144,28.11.2002,28.12.2002
368,178.7,O9388119828,A63952477,59766291D,"['08006', '24763', '08006']","4,789",628,29.06.2006,29.07.2006
369,50.25,C4551332991,B36000917,72532096D,"['36600', '20860', '36600']","5,638",0,12.01.2005,13.03.2005
370,79.07,LG7159184344,B01804400,30447607T,"['28045', '28045', '15140', '15140', '15140', '28045', '28045']","2,23",270,01.01.2001,31.01.2001
371,62.63,D6630611525,B44503407,81003752Y,"['12005', '40295', '12005']","3,907",116,14.05.1997,13.07.1997
372,47.83,O1778034497,B75229369,11833586V,"['28045', '28045', '10748', '10748', '10748', '28045', '28045']","4,83",40,09.09.1993,08.11.1993
373,145.54,UK7168981331,B36350361,19242515W,"['36670', '41927', '36670']","4,440",408,04.01.2001,05.03.2001
374,43.54,M8324103284,B36000917,31135077T,"['36600', '48269', '36600', '91080', '41080']","3,614",123,03.02.2001,05.03.2001
375,379.78,F8743400179,B76741016,85262895D,"['38330', '42225', '38330']","2,975",1132,28.04.2013,27.06.2013
376,235.3,DA3674202594,B87517017,50003530N,"['28010', '25736', '28010']","4,273",668,22.09.2006,21.11.2006
377,199.66,KQ8584527358,[],22493778P,"['08034', '08034', '11190', '11190', '11190', '08034', '08034']","2,57",760,26.12.1991,24.02.1992
378,141.05,O8501127558,B98373269,86760062Z,"['46004', '46192', '46004', '30775', '41080']","5,317",354,20.11.2009,19.01.2010
379,26.43,LP5168953736,B99275851,22615912N,"['50003', '43154', '50003']","3,439",0,25.08.1996,24.10.1996
380,462.19,ZT5333655984,B86267630,82580008A,"['28010', '04230', '28010']","4,423",1270,09.01.1996,09.03.1996
381,28.83,E8337214112,B64757602,27076441J,"['28020', '22587', '28020', '22587', '22587', '28020', '28020']","6,24",0,01.03.2000,31.03.2000
382,32.55,FY1027044270,A17651829,61314237D,"['17500', '17500', '13400', '13400', '13400', '33091', '17500', '17500']","4,05",0,28.03.1998,27.05.1998
383,128.02,G7360883284,[],99984366P,"['11690', '11690', '11690', '25230']","3,642",325,23.12.2014,22.01.2015
384,167.83,T8354826017,B93158293,13081468B,"['29370', '28818', '29370']","3,138",746,05.03.1997,04.05.1997
385,271.06,ET2816665807,B74139429,92489249Q,"['33010', '33010', '06486', '06486', '06486', '33010', '33010']","3,57",1032,05.06.1993,04.08.1993
386,102.15,Z1712441244,[],21350990K,03816,"4,092",379,18.02.2017,20.03.2017
387,66.69,YM3740908258,A81948077,65411601S,"['28042', '10317', '28042', '25223', '41080']","4,636",178,14.06.2011,14.07.2011
388,39.49,VZ6330214627,B99340564,17552015W,"['50004', '50004', '32786', '32786', '32786', '50004', '50004']","4,28",0,13.04.2004,12.06.2004
389,196.95,PO8702728873,[],53021451B,"['10181', '10181', '10181', '08222']","5,399",592,10.01.2021,11.03.2021
390,48.43,C1640105658,[],33413803R,"['02510', '02510', '02510', '03360']","3,821",154,07.10.2006,06.11.2006
391,349.48,G9077836340,A11900057,68545874D,"['51002', '38916', '51002']","3,599",926,03.06.2013,02.08.2013
392,35.45,D3328064030,B76302512,95743198V,"['35008', '35008', '24404', '24404', '24404', '35008', '35008']","3,24",94,07.03.2004,06.04.2004
393,55.83,F6510307227,A85677466,10133757A,"['28760', '28760', '39491', '39491', '39491', '28760', '28760']","7,09",0,18.10.2007,17.12.2007
394,152.57,E8557228434,B55641708,16412449V,"['43206', '25550', '43206', '15985', '41080']","4,106",394,20.08.1992,19.10.1992
395,103.21,HK1972260433,[],76935051M,"['36449', '36449', '36449', '08173']","5,057",402,05.01.2017,04.02.2017
396,190.52,H6862423314,B39540760,48973884F,"['39011', '27200', '39011', '63778', '41080']","3,562",790,14.05.2008,13.07.2008
397,191.5,IX5520514544,[],65729208S,"['25572', '25572', '25572', '12200']","5,973",428,02.11.2009,01.01.2010
398,60.23,Y1638277838,[],52229481T,"['17244', '17244', '17244', '25550']","5,945",103,09.12.2006,08.01.2007
399,72.58,H7636081296,B19595677,44211498R,"['46870', '15572', '46870']","3,919",245,01.10.1997,31.10.1997
400,84.51,B3014217800,B25467887,31022136N,"['25171', '49024', '25171']","3,196",269,17.02.2004,18.03.2004
401,40.21,NN8112783711,[],80256802G,"['19328', '19328', '19328', '11010', '11031', '43206']","4,399",22,06.11.2018,05.01.2019
402,270.76,B5241759088,[],18043330Z,"['28294', '28294', '28294', '16013', '16048', '28034']","5,991",974,22.06.1995,21.08.1995
403,45.91,S3318036264,B66101171,71509155Q,"['08174', '08174', '10392', '10392', '10392', '08174', '08174']","3,55",113,08.03.2005,07.04.2005
404,198.17,I4222259164,B76730324,78562215B,"['38003', '07800', '38003']","4,127",666,26.12.1992,25.01.1993
405,309.86,P4684067187,[],93885207N,"['00198', '22080', '22080', '22080', '00198', '00198']","3,83",918,11.04.2013,10.06.2013
406,127.45,J2996983907,[],78755374Q,"['48003', '48003', '48003', '46900']","4,898",398,08.10.2020,07.11.2020
407,170.87,B8470829054,B91405084,66734334H,"['41018', '24721', '41018']","2,891",680,28.06.2008,27.08.2008
408,59.23,S8126402237,B25829904,86764622C,"['25002', '30333', '25002']","2,330",144,05.12.2017,03.02.2018
409,156.22,PO5945159361,[],51658136K,"['08589', '08589', '08589', '08221']","4,581",575,20.10.2015,19.11.2015
410,241.22,J8594099722,[],62796941H,"['08470', '08470', '08470', '51001']","4,558",876,03.07.1999,01.09.1999
411,78.19,H8995872026,B15552060,47720496G,"['15800', '15800', '17483', '17483', '17483', '11010', '15800', '15800']","2,39",267,09.11.2010,09.12.2010
412,158.83,UH1538457311,B01801778,19940257Q,"['20018', '09320', '20018']","5,140",506,11.08.2021,10.09.2021
413,140.96,Q5955492514,[],76962471D,33696,"4,62",390,14.11.1995,13.01.1996
414,57.63,HO7533231145,[],70909737R,"['18439', '18439', '18439', '27297']","6,058",124,24.05.2004,23.06.2004
415,61.88,T1269020339,B88635289,39409532K,"['28039', '28039', '47005', '47005', '47005', '28039', '28039']","3,06",249,01.04.1994,01.05.1994
416,203.53,BN4530965224,B99301822,18624402Z,"['50009', '50009', '37440', '37440', '37440', '50009', '50009']","3,85",834,15.11.2004,14.01.2005
417,85.7,IU6530383770,[],70869227V,28695,"3,78",272,30.01.2019,01.03.2019
418,227.6,OX9307134522,[],15389665C,"['44596', '44596', '44596', '03013']","2,638",714,06.05.2000,05.07.2000
419,236.01,H1241084507,B25818733,72546718A,"['25173', '40594', '25173']","4,041",946,10.05.2007,09.07.2007
420,171.26,I8112757093,B65519647,53016452A,"['08029', '49697', '08029']","3,773",691,25.10.2006,24.11.2006
421,32.14,LH7679282661,[],89757659K,"['20496', '20496', '20496', '08911']","4,112",0,14.08.2016,13.10.2016
422,134.17,PK8830990655,B81997439,51636234S,"['28001', '36309', '28001']","3,588",358,02.01.1990,01.02.1990
423,98.96,T9317966163,[],92237709G,09567,"3,312",345,29.05.2014,28.06.2014
424,197.46,HB7289275776,B16322042,20778380L,"['16320', '50213', '16320']","4,811",740,09.10.2019,08.12.2019
425,86.29,LF8745134416,[],22058942X,"['36829', '36829', '36829', '39011']","3,679",281,01.03.2019,31.03.2019
426,87.09,H3916077693,[],72130853R,03788,"5,105",154,11.02.2001,12.04.2001
427,91.32,VX1279296211,B96599006,73417392N,"['46002', '45128', '46002']","0,756",390,14.10.2008,12.11.2008
428,370.18,QI3758241569,[],60285516D,"['42368', '42368', '42368', '08221']","4,119",1096,03.12.2000,01.02.2001
429,239.46,K9280413820,[],61427536X,"['37185', '37185', '37185', '28034']","4,407",824,05.01.2016,05.03.2016
430,228.94,J6295088833,[],46653661R,"['04100', '04100', '04100', '03360']","5,381",572,21.09.2019,20.11.2019
431,92.37,K4914193257,B02782563,88246848B,"['08503', '08503', '30628', '30628', '30628', '08503', '08503']","2,70",246,13.11.1995,13.12.1995
432,199.44,J6784761485,B93267300,88844864G,"['28001', '25110', '28001']","4,176",712,03.05.1997,02.07.1997
433,186.2,GU9287539826,[],79413784M,18004,"3,430",737,18.11.2012,18.12.2012
434,221.27,OI2705950045,B40657413,61788328R,"['46006', '03349', '46006']","2,168",706,02.09.2009,01.11.2009
435,101.39,IW1933494283,[],31937558B,"['31745', '31745', '31745', '22640']","5,193",354,06.05.2005,05.06.2005
436,86.27,Q6511823283,[],92613297W,09339,"3,97",254,27.08.2017,26.10.2017
437,269.69,FK3749440850,A08800880,46434234V,"['08930', '08930', '15970', '15970', '15970', '08930', '08930']","3,35",870,26.10.2015,25.12.2015
438,428.75,HD5360970988,F46027298,52512014R,"['46168', '29003', '46168']","5,113",1396,01.05.2017,30.06.2017
439,66.15,MW5977056375,B87382644,41641588L,"['28014', '08760', '28014', '54579', '41080']","1,703",242,18.12.1997,16.02.1998
440,78.95,HW9117910801,[],43412974Z,"['21002', '21002', '21002', '28108']","3,540",235,06.02.2011,08.03.2011
441,84.6,X4739588627,[],79087419X,"['19493', '19493', '19493', '28029']","3,704",253,04.05.2015,03.06.2015
442,136.13,E6507543981,[],41556197G,"['10194', '10194', '10194', '28022']","4,065",488,05.02.2000,05.04.2000
443,127.84,AB9901438310,B64757602,49901446W,"['28020', '16415', '28020']","3,699",412,01.11.2008,31.12.2008
444,22.47,D9341162784,[],40873262P,"['05697', '05697', '05697', '35010']","3,767",30,21.04.2008,21.05.2008
445,112.24,RN2939277985,[],95987019S,"['37521', '37521', '37521', '20018']","2,087",408,19.12.2001,18.01.2002
446,70.05,U3670750863,B25680083,99642541D,"['25230', '46266', '25230']","4,158",156,06.04.2014,05.06.2014
447,96.33,W7038408635,B99514374,73924309D,"['50012', '24217', '50012']","6,059",261,31.10.1993,30.11.1993
448,72.01,LY8300947721,B98898240,48267040E,"['46800', '46800', '40140', '40140', '40140', '46800', '46800']","5,68",196,28.06.2020,28.07.2020
449,104.24,TH1222227322,B73935645,71528304Y,"['30892', '12560', '30892']","5,779",306,09.12.2005,07.02.2006
450,142.85,RD5343999918,[],80358231A,"['09410', '09410', '09410', '28028']","3,932",424,21.05.2004,20.07.2004
451,250.62,BT6593272424,[],21460467H,"['36312', '36312', '36312', '46168']","3,938",896,04.10.1998,03.12.1998
452,133.16,VR4468998492,B98190051,91550338B,"['46005', '33208', '46005']","2,771",468,12.10.2008,11.11.2008
453,13.8,H7546483766,[],37360546J,"['19244', '19244', '19244', '14900']","3,082",0,12.08.2010,11.09.2010
454,372.38,K3576207756,[],22810655Z,"['32516', '32516', '32516', '70200']","0,721",1106,02.03.2017,01.05.2017
455,92.71,BP5890266342,B64376395,35295979H,"['08221', '08221', '07360', '07360', '07360', '08221', '08221']","3,55",218,02.04.2018,02.05.2018
456,134.89,A9995421938,A51031920,73800967Q,"['51001', '08281', '51001']","4,633",322,12.03.2016,11.04.2016
457,31.93,IH7062042591,B53480547,36672911D,"['03360', '03360', '10184', '10184', '10184', '03360', '03360']","3,70",0,07.03.2014,06.05.2014
458,309.26,I3590986871,[],42274006Y,"['00198', '46314']","5,602",1158,15.03.1998,14.05.1998
459,33.47,F9981724325,B24675811,45692433N,"['24380', '19226', '24380']","4,094",0,12.05.2019,11.07.2019
460,297.95,NI3960202353,[],97753251P,"['29130', '29130', '29130', '14012']","3,634",858,09.10.1990,08.12.1990
461,130.62,X2189760915,B66658188,57373037C,"['28037', '24005', '28037', '21455', '41080']","4,135",459,22.01.2006,21.02.2006
